task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	f4/3bf5b0	12503	FORMAT_CLADES_TSV	COMPLETED	0	2024-07-24 08:46:25.993	9s	7.9s	37.7%	72.7 MB	570.8 MB	14.5 MB	106.9 KB
1	cc/9fff79	13004	ALIGN_MINIMAP2	COMPLETED	0	2024-07-24 08:49:39.452	11.7s	10.8s	514.9%	146.3 MB	1.8 GB	243.5 MB	239.4 MB
3	1e/ab0d4b	13822	FATOVCF	COMPLETED	0	2024-07-24 08:50:12.161	11.7s	10.9s	56.7%	87.5 MB	97.1 MB	78.6 MB	100.8 MB
4	f8/1a2cee	14485	GENERATE_PROTOBUF_TREE	COMPLETED	0	2024-07-24 09:01:46.184	23s	20.9s	372.6%	39.7 MB	778.8 MB	101.2 MB	6.7 MB
5	46/07260f	14891	ANNOTATE_TREE	COMPLETED	0	2024-07-24 09:02:09.296	7m 31s	7m 29s	1157.1%	1 GB	1.5 GB	6.5 MB	25.1 MB
6	9e/87732e	18212	EXTRACT_CLADES	COMPLETED	0	2024-07-24 09:09:39.921	10.2s	7.8s	62.6%	79.2 MB	871 MB	6.5 MB	63.7 MB
7	30/cbf5f1	18523	ADD_REF_MUTS	COMPLETED	0	2024-07-24 09:18:02.193	56.9s	56.2s	91.9%	198.2 MB	773 MB	154.1 MB	359.6 KB
8	a4/2adc92	19697	GENERATE_BARCODES	COMPLETED	0	2024-07-24 09:26:47.983	1m 2s	1m 1s	77.7%	91.4 MB	588.3 MB	33.4 MB	6.5 MB
