task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	5c/fd360d	16790	ALIGN_MINIMAP2	COMPLETED	0	2024-08-21 09:14:20.959	5.5s	4.4s	500.5%	99.9 MB	1.8 GB	75.1 MB	74.3 MB
3	34/ee187a	17433	FATOVCF	COMPLETED	0	2024-08-21 09:14:26.664	4.9s	3.3s	62.6%	33 MB	42.8 MB	24.7 MB	26.4 MB
4	2c/ca2da4	17961	GENERATE_PROTOBUF_TREE	COMPLETED	0	2024-08-21 09:14:31.678	9s	6.3s	500.7%	19 MB	836.7 MB	26.7 MB	2.6 MB
2	af/ddc426	16784	FORMAT_CLADES_TSV	COMPLETED	0	2024-08-21 09:14:20.928	20.4s	19.3s	26.0%	74.4 MB	566.5 MB	13.8 MB	49.6 KB
5	92/9c6dd9	18326	ANNOTATE_TREE	COMPLETED	0	2024-08-21 09:14:41.513	18s	15.1s	1027.0%	171.8 MB	854.8 MB	2.5 MB	8.4 MB
6	02/fdf727	18724	EXTRACT_CLADES	COMPLETED	0	2024-08-21 09:14:59.598	4.4s	2.1s	68.2%	34.2 MB	790.5 MB	2.5 MB	17.8 MB
7	a0/767028	18908	ADD_REF_MUTS	COMPLETED	0	2024-08-21 09:15:04.082	39.3s	38.4s	73.6%	111 MB	733.7 MB	56.2 MB	134.8 KB
8	b0/306add	19827	GENERATE_BARCODES	COMPLETED	0	2024-08-21 09:15:43.497	42.6s	41.8s	51.6%	88.5 MB	589.5 MB	32.8 MB	2.9 MB
