task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	75/6fc6a5	8006	ALIGN_MINIMAP2	COMPLETED	0	2024-08-21 08:59:40.685	10.3s	9.3s	510.1%	227.4 MB	1.8 GB	176 MB	176 MB
2	a0/ad83ff	8000	FORMAT_CLADES_TSV	COMPLETED	0	2024-08-21 08:59:40.638	11.1s	10s	35.6%	66.3 MB	568.5 MB	14.4 MB	105.8 KB
3	85/b90e9f	9137	FATOVCF	COMPLETED	0	2024-08-21 08:59:51.169	9.2s	7.9s	67.3%	67.4 MB	77.2 MB	58.8 MB	79.5 MB
4	74/f57cdc	9657	GENERATE_PROTOBUF_TREE	COMPLETED	0	2024-08-21 09:00:00.423	13.7s	12.1s	547.0%	34.8 MB	842 MB	79.9 MB	4.3 MB
5	26/1e6676	9955	ANNOTATE_TREE	COMPLETED	0	2024-08-21 09:00:14.179	2m 56s	2m 54s	1158.6%	836.4 MB	1.2 GB	4.1 MB	26.7 MB
6	60/4a16b5	11433	EXTRACT_CLADES	COMPLETED	0	2024-08-21 09:03:10.311	12.7s	10.5s	67.6%	92.3 MB	872 MB	4 MB	67.4 MB
7	71/2c9b66	11727	ADD_REF_MUTS	COMPLETED	0	2024-08-21 09:03:23.129	1m 25s	1m 24s	79.1%	201.9 MB	776.3 MB	137.9 MB	557.7 KB
8	97/dd05f2	13134	GENERATE_BARCODES	COMPLETED	0	2024-08-21 09:04:48.193	1m 50s	1m 49s	79.6%	98.5 MB	594.5 MB	34 MB	10 MB
