Unassigned	KX274130_1
Unassigned	KY923048_1
2VI	DH136
2VI	EF105379_1
2VI	AP006
2VI	EU003591_1
2VI	EF105387_1
2VI	EF105388_1
2VI	EF105385_1
2VI	MW946564_1
2VI	EF105384_1
2VI	EF457904_1
2VI	OK605757_1
2VI	EF105390_1
2VI	EF105389_1
2VI	JF260983_1
2VI	PP029070_1
2VI	PP029068_1
2VI	PP029069_1
2VI	EF105378_1
2VI	AP007
2VI	DH137
2VI	EF105386_1
2VI	EF105383_1
2VI	EF105382_1
2VI	EF105381_1
2VI	EF105380_1
2VI	AP005
2VI	DH135
2I	GQ868600_1
2I	JX966380_1
2I	GQ868592_1
2I	AY702040_1
2I	AF100467_1
2I	EU056811_1
2I	MW946575_1
2I	AF100468_1
2I	FJ898449_1
2I	JX966379_1
2I	GQ868590_1
2I	AF100469_1
2I	GQ868588_1
2I	GQ868589_1
2I	OR389329_1
2I	AF100465_1
2I	GQ868599_1
2I	DH099
2I	EU056812_1
2I	JQ922550_1
2I	DH064
2I	OR389311_1
2I	DH060
2I	OR389310_1
2I	KJ918750_1
2I	DH062
2I	OR389309_1
2I	HM582103_1
2I	HM582101_1
2I	HM582099_1
2I	HM582100_1
2I	HM582108_1
2I	HM582109_1
2I	HM582102_1
2I	HM582110_1
2I	HM582107_1
2I	HM582106_1
2I	OK469349_1
2I	HM582105_1
2I	HM582104_1
2I	MW946475_1
2I	HM582116_1
2I	HM582117_1
2I	HM582112_1
2I	HM582111_1
2I	HM582113_1
2I	HM582114_1
2I	HM582115_1
2II_A	AP002
2II_A	AP001
2II_A	DH072
2II_A	MW946478_1
2II_A	DH061
2II_A	DH073_AMPL
2II_A	FJ882602_1
2II_A	DH063
2II_A	OR389312_1
2II_A	MG560143_1
2II_A	OR236108_1
2II_A	MW512470_1
2II_A	MG721056_1
2II_A	OM639983_1
2II_A	OM639986_1
2II_A	OM648092_1
2II_A	OM681318_1
2II_A	MW512372_1
2II_A	LC367234_1
2II_A.2.1	OP310806_1
2II_A.2.1	MK858109_2
2II_A.2.1	MH891770_1
2II_A.2.1	MK858116_2
2II_A.2.1	ON123649_1
2II_A.2.1	OM639988_1
2II_A.2.1	OM639987_1
2II_A.2.1	OM639989_1
2II_A.2.1	MK858102_2
2II_A.2.1	OP310807_1
2II_A.2.1	MK858100_2
2II_A.2.1	MG721054_1
2II_A.2.1	MK858104_1
2II_A.2.1	DENV2/India/2017-09-08/Yale-DN00152
2II_A.2.1	MK858099_1
2II_A.2.1	MK858106_2
2II_A.2.1	MG592698_1
2II_A.2.1	JX475906_1
2II_A.2.1	MW512490_1
2II_A.2.1	MG560144_1
2II_A.2.1	LC121816_1
2II_A.2.1	MH822950_1
2II_A.2.1	MH822951_1
2II_A.2.1	MK858113_1
2II_A.2.1	MH822952_1
2II_A.2.1	MW512449_1
2II_A.2.1	LC436670_1
2II_A.2.1	LC436671_1
2II_A.2.1	MW730837_1
2II_A.2.1	MW730838_1
2II_A.2.1	MW730836_1
2II_A.2.1	MW730835_1
2II_A.2.1	MW730834_1
2II_A.2.1	MH822956_1
2II_A.2.1	MH822953_1
2II_A.2.1	MH822955_1
2II_A.2.1	MK858096_1
2II_A.2.1	MH822954_1
2II_A.2.1	MK629885_1
2II_A.2.1	MZ130521_1
2II_A.2.1	MZ130520_1
2II_A.2.1	MZ130529_1
2II_A.2.1	MK564488_1
2II_A.2.1	MK578533_1
2II_A.2.1	MK783207_1
2II_A.2.1	MK783210_1
2II_A.2.1	MK783206_1
2II_A.2.1	MK783208_1
2II_A.2.1	MK783209_1
2II_A.2.2	KY427084_1
2II_A.2.2	MH822949_1
2II_A.2.2	MZ130528_1
2II_A.2.2	MH456897_1
2II_A.2.2	MH456898_1
2II_A.2.2	MN577559_1
2II_A.2.2	MN577561_1
2II_A.2.2	MN577560_1
2II_A.2.2	MN577557_1
2II_A.2.2	MN577563_1
2II_A.2.2	MN577558_1
2II_A.2.2	MZ857209_1
2II_A.2.2	MH456892_1
2II_A.2.2	MH456893_1
2II_A.2.2	MH456895_1
2II_A.2.2	MK473384_1
2II_A.2.2	MG779196_1
2II_A.2.2	MG779201_1
2II_A.2.2	MG779200_1
2II_A.2.2	MG779197_1
2II_A.2.2	MG779203_1
2II_A.2.2	MG779194_1
2II_A.2.2	MG779198_1
2II_A.2.2	MN577556_1
2II_A.2.2	MN577553_1
2II_A.2.2	MN577555_1
2II_A.2.2	MK473386_1
2II_A.2.2	MK473385_1
2II_A.2.2	MN577554_1
2II_A.2.2	MG779195_1
2II_A.2.2	MG779202_1
2II_A.2.2	MG779199_1
2II_A.2.2	MN335247_1
2II_A.2.2	MN335244_1
2II_A.2.2	MN335245_1
2II_A.2.2	MN335246_1
2II_A.2.2	PP082857_1
2II_A.2.2	PP564580_1
2II_A.2.2	PP564564_1
2II_A.2.2	PP564507_1
2II_A.2.2	PP564525_1
2II_A.2.2	PP564522_1
2II_A.2.2	PP564691_1
2II_A.2.2	PP564526_1
2II_A.2.2	PP564693_1
2II_A.2.2	PP564508_1
2II_A.2.2	PP564676_1
2II_A.2.2	PP564668_1
2II_A.2.2	PP564615_1
2II_A.2.2	PP564512_1
2II_A.2.2	PP564532_1
2II_A.2.2	PP564528_1
2II_A.2.2	PP564563_1
2II_A.2.2	PP564698_1
2II_A.2.2	PP564706_1
2II_A.2.2	PP564671_1
2II_A.2.2	PP564621_1
2II_A.2.2	PP564685_1
2II_A.2.2	PP564664_1
2II_A.2.2	PP564679_1
2II_A.2.2	PP564642_1
2II_A.2.2	PP564647_1
2II_A.2.2	PP564644_1
2II_A.2.2	PP564614_1
2II_A.2.2	PP564623_1
2II_A.2.2	PP564666_1
2II_A.2.2	PP564622_1
2II_A.2.2	PP564518_1
2II_A.2.2	PP564598_1
2II_A.2.2	PP564520_1
2II_A.2.2	PP564669_1
2II_A.2.2	PP564597_1
2II_A.2.2	PP564665_1
2II_A.2.2	PP564662_1
2II_A.2.2	PP564694_1
2II_A.2.2	PP564677_1
2II_A.2.2	PP564703_1
2II_A.2.2	PP564704_1
2II_A.2.2	PP564645_1
2II_A.2.2	PP564649_1
2II_A.2.2	PP564675_1
2II_A.2.2	PP564678_1
2II_A.2.2	PP564629_1
2II_A.2.2	PP564641_1
2II_A.2.2	PP564582_1
2II_A.2.2	PP564583_1
2II_A.2.2	PP564510_1
2II_A.2.2	PP564559_1
2II_A.2.2	PP564639_1
2II_A.2.2	PP564543_1
2II_A.2.2	PP564576_1
2II_A.2.2	PP564658_1
2II_A.2.2	PP564687_1
2II_A.2.2	PP564620_1
2II_A.2.2	PP564544_1
2II_A.2.2	PP564624_1
2II_A.2.2	PP564539_1
2II_A.2.2	PP564659_1
2II_A.2.2	PP564619_1
2II_A.2.2	PP564610_1
2II_A.2.2	PP564618_1
2II_A.2.2	PP564531_1
2II_A.2.2	PP564511_1
2II_A.2.2	PP564558_1
2II_A.2.2	PP564567_1
2II_A.2.2	PP564606_1
2II_A.2.2	PP564674_1
2II_A.2.2	PP564538_1
2II_A.2.2	PP564560_1
2II_A.2.2	PP564686_1
2II_A.2.2	PP564556_1
2II_A.2.2	PP564536_1
2II_A.2.2	PP564637_1
2II_A.2.2	PP564604_1
2II_A.2.2	PP564561_1
2II_A.2.2	PP564542_1
2II_A.2.2	PP564591_1
2II_A.2.2	PP564515_1
2II_A.2.2	PP564527_1
2II_A.2.2	PP564516_1
2II_A.2.2	PP564509_1
2II_A.2.2	PP564534_1
2II_A.2.2	PP564605_1
2II_A.2.2	PP564517_1
2II_A.2.2	PP564617_1
2II_A.2.2	PP564609_1
2II_A.2.2	PP564607_1
2II_A.2.2	PP564524_1
2II_A.2.2	PP564529_1
2II_A.2.2	PP564519_1
2II_A.2.2	PP564616_1
2II_A.2.2	PP564574_1
2II_A.2.2	PP564633_1
2II_A.2.2	PP564635_1
2II_A.2.2	PP564555_1
2II_A.2.2	PP564575_1
2II_A.2.2	PP564581_1
2II_A.2.2	PP564640_1
2II_A.2.2	PP564657_1
2II_A.2.2	PP564638_1
2II_A.2.2	PP564545_1
2II_A.2.2	PP564611_1
2II_A.2.2	PP564655_1
2II_A.2.2	PP564672_1
2II_A.2.2	PP564594_1
2II_A.2.2	PP564681_1
2II_A.2.2	PP564634_1
2II_A.2.2	PP564596_1
2II_A.2.2	PP564707_1
2II_A.2.2	PP564673_1
2II_A.2.2	PP564653_1
2II_A.2.2	PP564663_1
2II_A.2.2	PP564595_1
2II_A.2.2	PP564682_1
2II_A.2.2	PP564612_1
2II_A.2.2	PP564683_1
2II_A.2.2	PP564656_1
2II_A.2.2	PP564652_1
2II_A.2.2	PP564565_1
2II_A.2.2	PP564562_1
2II_A.2.2	PP564654_1
2II_A.2.2	PP564701_1
2II_A.2.2	PP564702_1
2II_A.2.2	PP564608_1
2II_A.2.2	PP564554_1
2II_A.2.2	PP564578_1
2II_A.2.2	PP564540_1
2II_A.2.2	PP564577_1
2II_A.2.2	PP564680_1
2II_A.2.2	PP564636_1
2II_A.2.2	PP564523_1
2II_A.2.2	PP564579_1
2II_A.2.2	PP564705_1
2II_A.2.2	PP564689_1
2II_A.2.2	PP564688_1
2II_A.2.2	PP564632_1
2II_A.2.2	PP564533_1
2II_A.2.2	PP564699_1
2II_A.2.2	PP564603_1
2II_A.2.2	PP564613_1
2II_A.2.2	PP564690_1
2II_A.2.2	PP564521_1
2II_A.2.2	PP564700_1
